,Mystery_Data_X,Mystery_Data_Y,Modified,Model
0,146.7774789,146.2079204,FALSE,TRUE
1,113.733714,160.9244631,FALSE,FALSE
2,94.12734247,583.9615187,TRUE,FALSE
3,205.994299,413.0780773,TRUE,TRUE
4,129.2062643,,TRUE,FALSE
5,162.9618237,159.4846546,FALSE,FALSE
6,176.8589169,157.284137,FALSE,FALSE
7,132.9603529,1005.469137,TRUE,FALSE
8,135.3760602,771.3101264,TRUE,FALSE
9,130.2334171,96.04124577,FALSE,FALSE
10,159.8789883,1055.340251,TRUE,FALSE
11,165.3797114,150.429911,FALSE,FALSE
12,173.7558037,1079.206188,TRUE,FALSE
13,130.8036327,410.7945254,TRUE,FALSE
14,175.0900315,181.8740833,FALSE,FALSE
15,174.6203329,151.6749076,FALSE,FALSE
16,91.11361221,182.6924714,FALSE,FALSE
17,168.3455758,,TRUE,FALSE
18,166.3148239,170.7876772,FALSE,FALSE
19,114.7919337,,TRUE,FALSE
20,125.0492128,140.3557214,FALSE,FALSE
21,187.6288834,119.4480415,FALSE,FALSE
22,113.8988229,118.4987062,FALSE,TRUE
23,189.8871932,1072.961904,TRUE,FALSE
24,143.6278397,177.5263982,FALSE,FALSE
25,146.8638831,1823.515651,TRUE,FALSE
26,161.3567876,1865.35161,TRUE,FALSE
27,126.724902,,TRUE,FALSE
28,149.8819343,147.0156172,FALSE,TRUE
29,175.1504719,106.8821536,FALSE,FALSE
30,158.7917926,928.2786059,TRUE,FALSE
31,107.6493939,,TRUE,FALSE
32,125.4384092,150.0570495,FALSE,FALSE
33,28.42960687,,TRUE,TRUE
34,131.3262294,90.65055591,FALSE,FALSE
35,152.027464,132.550788,FALSE,FALSE
36,93.52861698,100.5309896,FALSE,FALSE
37,118.6081869,127.0639873,FALSE,FALSE
38,144.454144,603.0687639,TRUE,FALSE
39,143.6800433,623.7758639,TRUE,FALSE
40,138.5909608,148.6119097,FALSE,FALSE
41,131.6800543,164.8991209,FALSE,FALSE
42,104.0064213,121.6810898,FALSE,FALSE
43,82.70887599,,TRUE,FALSE
44,130.7448675,,TRUE,TRUE
45,128.5923364,122.5818609,FALSE,FALSE
46,138.8273742,141.7519325,FALSE,FALSE
47,143.2405088,,TRUE,FALSE
48,106.7778414,111.742442,FALSE,FALSE
49,153.2571462,152.4388201,FALSE,TRUE
50,162.6787518,680.9577969,TRUE,FALSE
51,124.1619903,958.9523529,TRUE,FALSE
52,168.0433874,145.2508465,FALSE,FALSE
53,110.7665248,722.5409863,TRUE,FALSE
54,138.1073517,127.583238,FALSE,FALSE
55,148.3614822,1062.703545,TRUE,FALSE
56,113.6870631,,TRUE,FALSE
57,165.4475786,704.5872466,TRUE,FALSE
58,166.0131164,120.8437,FALSE,FALSE
59,152.4406214,1437.922343,TRUE,FALSE
