Mystery_Data_X,Mystery_Data_Y
160.4982333,159.0248797
183.1594673,160.843976
138.6097081,129.5020649
122.5108218,131.2606823
160.2391875,159.5304827
134.9062184,113.5092153
107.0995427,112.6526493
140.9677313,127.9742781
147.7247941,145.0836487
160.6671602,175.4364125
150.5097557,111.791678
124.2988639,160.5551584
124.9817985,107.2172587
106.7428555,129.2742735
183.5315151,185.895182
176.1222905,154.4110859
150.1632393,93.74622529
178.4473604,166.8566243
160.1099261,152.7275166
106.102767,87.21564593
167.0274651,185.8928735
151.5897823,125.6172492
171.7227438,94.71755169
101.8630972,127.9523071
60.60851331,138.243564
98.86487028,133.5368702
131.7479375,137.0339496
159.2812486,180.8843738
112.124873,144.6616283
119.2884966,93.03476075
113.9053097,167.6822802
133.8494831,139.0900036
201.9986241,146.5239935
143.7357332,123.4074588
105.985245,115.4422378
137.1190178,169.8062256
131.9780842,108.65443
103.8514798,113.8155058
164.1138106,126.4492599
97.77070809,101.0911402
120.368213,138.7749569
134.2282433,84.26328287
125.2136005,126.663593
168.4937218,204.6119449
155.5182334,106.3028636
100.6245621,180.5708159
124.2197162,137.7935396
163.6271395,121.7711511
136.9676552,124.0312378
127.5781166,190.8746192
85.62427989,119.1420088
120.4901199,94.08928623
97.61554157,164.2434627
116.8012,101.867144
144.9758762,113.0989019
98.91938395,169.2897308
130.9130501,105.5409876
163.3162374,119.5426766
164.2751007,157.9434316
137.2579509,98.09263565
107.2627086,110.0709808
115.185207,159.8833664
118.3067957,139.4556047
130.8932272,126.3347104
112.3995554,151.5003686
130.5458903,173.9638885
144.0454458,175.2111143
155.5843417,171.4679998
126.6471607,173.0896441
175.6963025,121.0535166
104.2397378,143.238165
109.1618567,123.1203366
175.0351129,139.116892
171.5480917,137.955008
177.9996352,145.2776459
116.0942818,115.1835049
129.0087312,119.0295199
143.9258939,130.1138703
104.7813502,154.76495
98.33650692,156.9914788
125.072499,105.7989372
149.7254341,170.3587315
128.7631089,96.6631197
109.2183705,139.3616749
147.0801398,99.80679924
146.1232311,137.1517106
131.7009791,89.60520937
155.5992755,188.7043149
102.2823728,182.7738505
117.0666289,147.6599641
124.2925309,160.2604243
93.33451177,120.6923272
125.2362296,167.4341543
130.2349424,164.0450121
135.2181275,128.9902415
141.7779799,115.2115463
134.1479359,116.9349056
129.9926012,178.7632664
145.5279977,112.6427533
121.8872426,127.1389163
91.11889092,124.3541377
122.5106089,112.9251501
189.0015044,167.0398991
147.1954869,118.1679905
58.07307398,119.8510294
143.0323718,184.7965119
145.9997082,94.6624422
168.1527883,135.4788538
169.3974652,116.0827129
164.7688242,145.4608236
115.8248024,217.7568488
144.4930037,146.0648465
108.8362708,171.6308241
123.0269265,162.154036
175.7298029,80.51358227
149.4583812,141.8074613
99.88262098,110.9000879
122.4516371,158.9200255
133.3716237,144.0637799
69.44991877,135.8417137
107.2183126,125.5802862
171.8570692,227.5740075
91.53496767,94.70300347
116.4793768,148.014112
119.0552275,155.9789736
95.68777082,128.5408766
130.3043646,144.2541781
105.9691566,106.7282066
138.5177476,123.3352839
151.3485123,151.158064
105.8925963,85.48926167
137.9810313,122.9412276
144.9090395,87.47502726
199.9016938,231.6773202
154.5372383,105.8649048
120.392129,172.4315458
188.5472134,124.8738299
178.3880352,121.7873329
160.2391929,160.6771758
159.6451233,119.4366734
170.1280786,74.50002482
115.5511906,108.8437619
130.2863503,159.5690712
146.2659118,160.7928542
141.0621214,142.0734999
97.05353197,90.13683171
142.3123309,85.84337981
125.8431932,98.25590464
165.2579998,128.0898456
127.7913175,185.4292035
156.479082,161.515024
153.8193027,155.1336695
146.7297197,77.42205129
120.9927609,142.4675637
146.5090723,172.080087
119.2246957,132.2614333
75.7201795,147.3872439
185.0892039,159.921308
152.8866521,82.129987
143.6544009,129.7279997
152.0679139,117.9112501
93.29824685,169.0979144
101.4183968,159.4373346
131.5432458,165.7793236
127.9208572,127.3089568
139.1145738,143.7365666
110.7022622,93.0557145
116.776437,129.2636396
