,Mystery_Data_X,Mystery_Data_Y,Modified,Adamic_Adar_Index
0,146.7774789,146.2079204,FALSE,0.302391554
1,113.733714,160.9244631,FALSE,0.302175552
2,94.12734247,583.9615187,TRUE,0.34554879
3,205.994299,413.0780773,TRUE,0.334761516
4,129.2062643,,TRUE,0
5,162.9618237,159.4846546,FALSE,0.30220224
6,176.8589169,157.284137,FALSE,0.302233322
7,132.9603529,1005.469137,TRUE,0.345715713
8,135.3760602,771.3101264,TRUE,0.342385104
9,130.2334171,96.04124577,FALSE,0.303098156
10,159.8789883,1055.340251,TRUE,0.349360246
11,165.3797114,150.429911,FALSE,0.302330693
12,173.7558037,1079.206188,TRUE,0.35161745
13,130.8036327,410.7945254,TRUE,0.334350349
14,175.0900315,181.8740833,FALSE,0.301869385
15,174.6203329,151.6749076,FALSE,0.302313826
16,91.11361221,182.6924714,FALSE,0.301858137
17,168.3455758,,TRUE,0
18,166.3148239,170.7876772,FALSE,0.302025616
19,114.7919337,,TRUE,0
20,125.0492128,140.3557214,FALSE,0.302475994
21,187.6288834,119.4480415,FALSE,0.302753419
22,113.8988229,118.4987062,FALSE,0.302771411
23,189.8871932,1072.961904,TRUE,0.351081518
24,143.6278397,177.5263982,FALSE,0.301926918
25,146.8638831,1823.515651,TRUE,0.438018286
26,161.3567876,1865.35161,TRUE,0.443923013
27,126.724902,,TRUE,0
28,149.8819343,147.0156172,FALSE,0.302382344
29,175.1504719,106.8821536,FALSE,0.302942638
30,158.7917926,928.2786059,TRUE,0.343452989
31,107.6493939,,TRUE,0
32,125.4384092,150.0570495,FALSE,0.302337601
33,28.42960687,,TRUE,0
34,131.3262294,90.65055591,FALSE,0.303192925
35,152.027464,132.550788,FALSE,0.302571213
36,93.52861698,100.5309896,FALSE,0.303032176
37,118.6081869,127.0639873,FALSE,0.302646897
38,144.454144,603.0687639,TRUE,0.345021906
39,143.6800433,623.7758639,TRUE,0.344692539
40,138.5909608,148.6119097,FALSE,0.302361274
41,131.6800543,164.8991209,FALSE,0.302125514
42,104.0064213,121.6810898,FALSE,0.302728667
43,82.70887599,,TRUE,0
44,130.7448675,,TRUE,0
45,128.5923364,122.5818609,FALSE,0.302715942
46,138.8273742,141.7519325,FALSE,0.302455528
47,143.2405088,,TRUE,0
48,106.7778414,111.742442,FALSE,0.302868724
49,153.2571462,152.4388201,FALSE,0.302305735
50,162.6787518,680.9577969,TRUE,0.343523717
51,124.1619903,958.9523529,TRUE,0.344280769
52,168.0433874,145.2508465,FALSE,0.302407286
53,110.7665248,722.5409863,TRUE,0.3429106
54,138.1073517,127.583238,FALSE,0.302640047
55,148.3614822,1062.703545,TRUE,0.350038841
56,113.6870631,,TRUE,0
57,165.4475786,704.5872466,TRUE,0.343091714
58,166.0131164,120.8437,FALSE,0.302738223
59,152.4406214,1437.922343,TRUE,0.406593215
60,111.5793846,141.8920608,FALSE,0.302453068
61,145.3897026,155.3584992,FALSE,0.302259757
62,122.1930321,768.3590831,TRUE,0.342398052
63,223.7519169,183.8135599,FALSE,0.30184024
64,212.5240084,148.5504372,FALSE,0.302361274
65,138.5462503,,TRUE,0
66,118.2968117,651.2992273,TRUE,0.344059375
67,134.8372662,179.9287342,FALSE,0.301897898
68,142.7389321,,TRUE,0
69,126.9221025,120.9618039,FALSE,0.302738223
70,172.6545818,,TRUE,0
71,141.848645,134.6166246,FALSE,0.302547556
72,122.2394,1231.581496,TRUE,0.375317155
73,128.4369464,781.6747483,TRUE,0.342393541
74,122.6943371,325.5854823,TRUE,0.328089482
75,95.14479525,1063.377672,TRUE,0.350098873
76,173.2425122,142.9096699,FALSE,0.302437939
77,146.5065358,214.3207708,FALSE,0.301662855
78,161.6436273,502.0130945,TRUE,0.339843454
79,156.8420319,,TRUE,0
80,111.992083,146.6477787,FALSE,0.302387222
81,111.6963424,122.9312507,FALSE,0.30270851
82,116.8468327,124.6152358,FALSE,0.302683584
83,105.8893171,,TRUE,0
84,134.8702505,1105.069351,TRUE,0.354259183
85,172.0057768,939.613496,TRUE,0.343662508
86,143.2711378,159.756741,FALSE,0.302197858
87,162.7963929,172.8016093,FALSE,0.301997471
88,178.2421434,551.0500664,TRUE,0.345682781
89,146.3300083,1120.121623,TRUE,0.355917444
90,94.446081,1107.414153,TRUE,0.354528327
91,142.12302,1634.803094,TRUE,0.420633214
92,128.6584196,498.0494161,TRUE,0.33947814
93,153.7969347,1075.716593,TRUE,0.351297006
94,116.5982466,159.132717,FALSE,0.302206126
