,Mystery_Data_X,Mystery_Data_Y,Modified,Model
0,115.7470578,1408.258981,TRUE,FALSE
1,129.2120702,,TRUE,FALSE
2,107.2225766,131.4935575,FALSE,FALSE
3,206.6829218,,TRUE,FALSE
4,194.0504225,612.9311255,TRUE,FALSE
5,151.4204042,147.1870818,FALSE,FALSE
6,155.3728497,,TRUE,FALSE
7,84.84081573,147.9567326,FALSE,FALSE
8,96.73239392,1435.052696,TRUE,FALSE
9,131.6127681,169.7640706,FALSE,FALSE
10,129.659126,160.0438396,FALSE,FALSE
11,92.13344868,1172.553542,TRUE,FALSE
12,122.2007329,136.3992411,FALSE,FALSE
13,113.9305287,155.9923648,FALSE,FALSE
14,160.5223221,200.2273408,FALSE,FALSE
15,185.4528214,206.7122919,FALSE,FALSE
16,86.45119072,149.5233243,FALSE,FALSE
17,74.09940507,155.1907883,FALSE,FALSE
18,148.2597397,182.5548741,FALSE,TRUE
19,141.8785467,162.116222,FALSE,TRUE
20,151.425888,183.2966387,FALSE,FALSE
21,125.4567877,134.06939,FALSE,FALSE
22,111.0459525,,TRUE,FALSE
23,147.5843908,216.7509403,FALSE,FALSE
24,152.8514719,454.5298759,TRUE,FALSE
25,183.9126675,1373.6934,TRUE,FALSE
26,147.2093187,135.9577041,FALSE,FALSE
27,208.7203363,172.0281004,FALSE,FALSE
28,189.489259,207.9636791,FALSE,FALSE
29,135.3539752,140.049651,FALSE,FALSE
30,104.7516588,1021.149903,TRUE,FALSE
31,133.6631489,107.2189029,FALSE,FALSE
32,129.4852425,751.5462994,TRUE,TRUE
33,203.1193847,1042.610775,TRUE,FALSE
34,40.70279005,611.5882465,TRUE,FALSE
35,130.3615546,1596.496659,TRUE,FALSE
36,116.0808799,114.009529,FALSE,FALSE
37,130.5962646,149.7460611,FALSE,FALSE
38,118.178016,164.5697171,FALSE,FALSE
39,214.5522962,1182.493415,TRUE,FALSE
40,138.6206386,1082.088984,TRUE,FALSE
41,124.9051243,1113.742584,TRUE,FALSE
42,95.44908086,786.2874618,TRUE,FALSE
43,161.8907533,180.9122131,FALSE,TRUE
44,78.23792674,83.46491406,FALSE,FALSE
45,136.5219196,182.608738,FALSE,TRUE
46,122.0917593,1130.82377,TRUE,FALSE
47,71.31552999,770.305954,TRUE,FALSE
48,139.9618641,,TRUE,FALSE
49,85.39491479,110.7791603,FALSE,TRUE
50,141.1126821,,TRUE,FALSE
51,114.3114624,,TRUE,FALSE
52,131.11623,574.1349497,TRUE,TRUE
53,121.9099047,159.3806486,FALSE,TRUE
54,73.76803931,160.749388,FALSE,FALSE
55,104.3884963,1639.421795,TRUE,FALSE
56,116.9982766,138.252331,FALSE,FALSE
57,147.3624923,108.0212599,FALSE,FALSE
58,147.0808179,,TRUE,FALSE
59,148.478822,704.1537458,TRUE,FALSE
60,203.3523039,1349.956419,TRUE,TRUE
61,87.78887668,,TRUE,FALSE
62,125.780188,,TRUE,FALSE
63,156.1119137,,TRUE,TRUE
64,127.9589642,1006.575256,TRUE,FALSE
65,146.420817,404.3948923,TRUE,FALSE
66,116.6044397,160.6951785,FALSE,FALSE
67,133.3728676,936.8950146,TRUE,FALSE
68,121.6346496,713.4630875,TRUE,FALSE
