Mystery_Data_X,Mystery_Data_Y,Modified
159.7625847,727.8587299,TRUE
159.1378956,164.7326466,FALSE
209.1296464,191.7016274,FALSE
71.54714223,114.0142903,FALSE
85.99753008,183.915043,FALSE
121.6228417,204.6251795,FALSE
198.7616643,520.0684385,TRUE
155.7175752,394.152756,TRUE
113.9027096,0,TRUE
116.2527083,168.8391611,FALSE
146.3317828,259.0872304,TRUE
185.1252797,277.8567716,TRUE
136.7498917,456.0328183,TRUE
126.7963713,121.765208,FALSE
113.1654907,175.8612603,FALSE
150.2715498,178.8488394,FALSE
111.2401251,163.9962454,FALSE
101.2355094,175.1984058,FALSE
136.767877,186.633525,FALSE
197.2615734,386.3570052,TRUE
110.7759965,119.6965254,FALSE
145.0527221,102.4984251,FALSE
145.6530118,204.9261745,TRUE
100.0165824,106.6934721,FALSE
214.4089096,182.752524,FALSE
102.2130741,629.4566302,TRUE
132.1605879,143.9305819,FALSE
75.46826432,550.7087979,TRUE
119.5566886,170.5023179,FALSE
144.8758748,680.6089328,TRUE
126.8891224,152.7301231,FALSE
136.5114288,134.8759977,FALSE
74.24043472,137.8825084,FALSE
116.5971719,135.5144911,FALSE
152.3051486,200.6598393,FALSE
108.2232002,114.8723388,FALSE
126.7563764,179.3334527,FALSE
202.3124804,181.5361527,FALSE
181.0738318,589.4623902,TRUE
98.01149024,129.9123382,FALSE
86.51055599,141.1119219,FALSE
104.5288397,255.8084771,TRUE
174.4063543,210.7422211,FALSE
134.4688454,164.2916542,FALSE
142.5699358,166.7232605,FALSE
89.27228131,0,TRUE
174.4571194,172.955531,FALSE
151.6839399,177.7190226,FALSE
61.81517548,468.5205003,TRUE
108.298672,106.6450813,FALSE
92.70953619,523.6217109,TRUE
129.3493328,595.1125682,TRUE
179.6310412,164.4620004,FALSE
153.0829776,0,TRUE
122.8155982,159.0623822,FALSE
167.5086302,191.8322491,FALSE
97.7404207,0,TRUE
133.9383854,158.9113196,FALSE
117.6000821,132.1298245,FALSE
193.355362,415.9914235,TRUE
147.5487184,547.41371,TRUE
152.1756535,155.9293206,FALSE
133.0200256,108.6266903,FALSE
137.8605212,148.4508256,FALSE
