,Mystery_Data_X,Mystery_Data_Y
0,146.7774788659761,146.20792036758874
1,113.73371399921663,160.92446305774183
2,94.12734247303133,121.96151865467854
3,205.99429904890644,205.0780772636095
4,129.20626426238098,113.8915112130843
5,162.96182365389475,159.4846546076836
6,176.8589169460055,157.2841369879579
7,132.96035285162358,127.46913666355158
8,135.37606016042545,112.31012636506898
9,130.23341707661038,96.04124577464232
10,159.87898829380364,144.3402514763881
11,165.37971144988055,150.42991102793908
12,173.7558037455023,194.20618819294384
13,130.8036327038235,147.79452542724263
14,175.0900314932002,181.8740832530645
15,174.620332938805,151.67490757185195
16,91.113612207847,182.69247139810852
17,168.34557578076257,159.77394446580345
18,166.3148239139016,170.78767715400664
19,114.79193367137628,106.77538507090695
20,125.04921282344306,140.35572140212432
21,187.62888337513436,119.44804154232583
22,113.89882293691437,118.49870620019166
23,189.88719316205678,153.9619041152859
24,143.62783974961954,177.52639819889913
25,146.86388306345341,180.51565133834245
26,161.35678759511995,148.35161012067857
27,126.72490200212226,122.34434673303099
28,149.8819343001052,147.01561720166802
29,175.15047191916887,106.88215360362099
30,158.79179259220567,132.27860585251995
31,107.64939389552,134.66398795612338
32,125.43840918014104,150.05704949482327
33,28.429606865149264,62.49445342241264
34,131.32622935183213,90.65055591182542
35,152.02746401624094,132.55078803988403
36,93.52861698156732,100.53098957770393
37,118.60818691965609,127.06398731194788
38,144.45414396505308,157.06876392257485
39,143.6800433204407,195.775863892087
40,138.59096080885834,148.61190971173127
41,131.68005427723855,164.89912093631054
42,104.00642133551136,121.68108975345237
43,82.70887599207032,114.52224525775786
44,130.74486751715358,139.49993913621336
45,128.5923363609266,122.58186086129368
46,138.82737418228587,141.75193251183197
47,143.24050877918023,150.68543088311486
48,106.77784137758988,111.74244203788415
49,153.25714624563605,152.43882010149255
50,162.67875178172525,192.9577968612382
51,124.16199032838729,129.95235289515105
52,168.04338744468825,145.25084654839824
53,110.76652482501852,105.54098630712424
54,138.10735169387164,127.58323795990762
55,148.36148218426868,153.70354535349597
56,113.68706307405078,166.6606919352528
57,165.44757857866807,157.58724657193758
58,166.013116377129,120.84370002285358
